Change Date,Ticker
2024-03-15,ZION
2024-04-02,VFC
2024-04-02,XRAY
2024-05-07,PXD
2024-06-21,ILMN
2024-06-21,CMA
2024-06-21,RHI
2024-09-20,BIO
2024-09-20,ETSY
2024-09-20,AAL
2024-09-27,BBWI
